REGION,TECHNOLOGY,VALUE
R1,PWRURNNPLXX01,60
R1,PWROCGNPLXX01,30
R1,PWRWOFNPLXX01,30
R1,PWRCCGNPLXX00,30
R1,PWROCGNPLXX00,30
R1,PWRPETNPLXX01,30
R1,PWRWONNPLXX01,30
R1,PWRWAVNPLXX01,20
R1,PWROTHNPLXX01,30
R1,PWRCSPNPLXX01,30
R1,PWRCOGNPLXX01,30
R1,PWROILNPLXX01,30
R1,PWRBIONPLXX01,45
R1,PWRWASNPLXX01,30
R1,PWRSPVNPLXX01,30
R1,PWRCCGNPLXX01,30
R1,PWRHYDNPLXX01,100
R1,PWRCOANPLXX01,30
R1,PWRGEONPLXX01,30
R2,PWRURNNPLXX01,60
R2,PWROCGNPLXX01,30
R2,PWRWOFNPLXX01,30
R2,PWRCCGNPLXX00,30
R2,PWROCGNPLXX00,30
R2,PWRPETNPLXX01,30
R2,PWRWONNPLXX01,30
R2,PWRWAVNPLXX01,20
R2,PWROTHNPLXX01,30
R2,PWRCSPNPLXX01,30
R2,PWRCOGNPLXX01,30
R2,PWROILNPLXX01,30
R2,PWRBIONPLXX01,45
R2,PWRWASNPLXX01,30
R2,PWRSPVNPLXX01,30
R2,PWRCCGNPLXX01,30
R2,PWRHYDNPLXX01,100
R2,PWRCOANPLXX01,30
R2,PWRGEONPLXX01,30
