REGION,TECHNOLOGY,VALUE
PHLLU,PWRCOAPHLLU,30
PHLLU,PWRBIOPHLLU,25
PHLLU,PWRGASPHLLU,30
PHLLU,PWRHYDPHLLU,100
PHLLU,PWROILPHLLU,20
PHLLU,PWRSPVPHLLU,25
