REGION,TECHNOLOGY,VALUE
PHLLU,PWRCOAPHLLU,31.536
PHLLU,PWRBIOPHLLU,31.536
PHLLU,PWRGASPHLLU,31.536
PHLLU,PWRHYDPHLLU,31.536
PHLLU,PWROILPHLLU,31.536
PHLLU,PWRSPVPHLLU,31.536
