REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
R1,TRANSMISSION,1,2020,18120.0
R1,TRANSMISSION,1,2021,18502.2
R1,TRANSMISSION,1,2022,18884.3
R1,TRANSMISSION,1,2023,19266.5
R1,TRANSMISSION,1,2024,19648.6
R1,TRANSMISSION,1,2025,20030.8
R1,TRANSMISSION,1,2026,20413.0
R1,TRANSMISSION,1,2027,20795.1
R1,TRANSMISSION,1,2028,21177.3
R1,TRANSMISSION,1,2029,21559.4
R1,TRANSMISSION,1,2030,21941.6
R1,TRANSMISSION,1,2031,22323.8
R1,TRANSMISSION,1,2032,22705.9
R1,TRANSMISSION,1,2033,23088.1
R1,TRANSMISSION,1,2034,23470.2
R1,TRANSMISSION,1,2035,23852.4
R1,TRANSMISSION,1,2036,24234.6
R1,TRANSMISSION,1,2037,24616.7
R1,TRANSMISSION,1,2038,24998.9
R1,TRANSMISSION,1,2039,25381.0
R1,TRANSMISSION,1,2040,25763.2
R1,TRANSMISSION,1,2041,26145.4
R1,TRANSMISSION,1,2042,26527.5
R1,TRANSMISSION,1,2043,26909.7
R1,TRANSMISSION,1,2044,27291.8
R1,TRANSMISSION,1,2045,27674.0
R1,TRANSMISSION,1,2046,28056.2
R1,TRANSMISSION,1,2047,28438.3
R1,TRANSMISSION,1,2048,28820.5
R1,TRANSMISSION,1,2049,29202.6
R1,TRANSMISSION,1,2050,29584.8
R1,TRANSMISSION,1,2051,29967.0
R1,TRANSMISSION,1,2052,30349.1
R1,TRANSMISSION,1,2053,30731.3
R1,TRANSMISSION,1,2054,31113.4
R1,TRANSMISSION,1,2055,31495.6
R1,TRANSMISSION,1,2056,31877.8
R1,TRANSMISSION,1,2057,32259.9
R1,TRANSMISSION,1,2058,32642.1
R1,TRANSMISSION,1,2059,33024.2
R1,TRANSMISSION,1,2060,33406.4
R1,TRANSMISSION,1,2061,33788.6
R1,TRANSMISSION,1,2062,34170.7
R1,TRANSMISSION,1,2063,34552.9
R1,TRANSMISSION,1,2064,34935.0
R1,TRANSMISSION,1,2065,35317.2
R1,TRANSMISSION,1,2066,35699.4
R1,TRANSMISSION,1,2067,36081.5
R1,TRANSMISSION,1,2068,36463.7
R1,TRANSMISSION,1,2069,36845.8
R1,TRANSMISSION,1,2070,37228.0
R1,MINE_WATER,1,2020,37012.637
R1,MINE_WATER,1,2021,37793.334
R1,MINE_WATER,1,2022,38573.827
R1,MINE_WATER,1,2023,39354.524
R1,MINE_WATER,1,2024,39297.2
R1,MINE_WATER,1,2025,40915.713
R1,MINE_WATER,1,2026,41696.41
R1,MINE_WATER,1,2027,42476.903
R1,MINE_WATER,1,2028,42354.6
R1,MINE_WATER,1,2029,43118.8
R1,MINE_WATER,1,2030,44818.79
R1,MINE_WATER,1,2031,44647.6
R1,MINE_WATER,1,2032,46379.98
R1,MINE_WATER,1,2033,47160.677
R1,MINE_WATER,1,2034,47941.169
R1,MINE_WATER,1,2035,48721.866
R1,MINE_WATER,1,2036,48469.2
R1,MINE_WATER,1,2037,50283.056
R1,MINE_WATER,1,2038,51063.753
R1,MINE_WATER,1,2039,51844.246
R1,MINE_WATER,1,2040,51526.4
R1,MINE_WATER,1,2041,53405.64
R1,MINE_WATER,1,2042,53055.0
R1,MINE_WATER,1,2043,54966.83
R1,MINE_WATER,1,2044,55747.322
R1,MINE_WATER,1,2045,55348.0
R1,MINE_WATER,1,2046,57308.716
R1,MINE_WATER,1,2047,58089.209
R1,MINE_WATER,1,2048,58869.906
R1,MINE_WATER,1,2049,58405.2
R1,MINE_WATER,1,2050,60431.096
R1,MINE_WATER,1,2051,61211.793
R1,MINE_WATER,1,2052,61992.286
R1,MINE_WATER,1,2053,62772.983
R1,MINE_WATER,1,2054,63553.475
R1,MINE_WATER,1,2055,64334.172
R1,MINE_WATER,1,2056,63755.6
R1,MINE_WATER,1,2057,64519.8
R1,MINE_WATER,1,2058,66676.059
R1,MINE_WATER,1,2059,67456.552
R1,MINE_WATER,1,2060,68237.249
R1,MINE_WATER,1,2061,69017.946
R1,MINE_WATER,1,2062,69798.439
R1,MINE_WATER,1,2063,70579.136
R1,MINE_WATER,1,2064,71359.628
R1,MINE_WATER,1,2065,72140.325
R1,MINE_WATER,1,2066,72921.022
R1,MINE_WATER,1,2067,73701.515
R1,MINE_WATER,1,2068,74482.212
R1,MINE_WATER,1,2069,75262.705
R1,MINE_WATER,1,2070,76043.402
R1,HYDRO,1,2020,18506.318
R1,HYDRO,1,2021,18896.667
R1,HYDRO,1,2022,19286.913
R1,HYDRO,1,2023,19677.262
R1,HYDRO,1,2024,19648.6
R1,HYDRO,1,2025,20457.857
R1,HYDRO,1,2026,20848.205
R1,HYDRO,1,2027,21238.452
