REGION,TIMESLICE,FUEL,YEAR,VALUE
GLOBAL,S1D2,ELCNPLXX02,2060,39.584163
GLOBAL,S1D2,ELCNPLXX02,2061,41.064177
GLOBAL,S1D2,ELCNPLXX02,2062,42.544191
GLOBAL,S1D2,ELCNPLXX02,2063,44.024206
GLOBAL,S1D2,ELCNPLXX02,2064,45.50432
GLOBAL,S1D2,ELCNPLXX02,2065,46.984334
GLOBAL,S1D2,ELCNPLXX02,2066,48.604047
GLOBAL,S1D2,ELCNPLXX02,2067,50.223759
GLOBAL,S1D2,ELCNPLXX02,2068,51.843471
GLOBAL,S1D2,ELCNPLXX02,2069,53.463284
GLOBAL,S1D2,ELCNPLXX02,2070,55.082996
GLOBAL,S2D1,ELCNPLXX02,2020,5.4638684
GLOBAL,S2D1,ELCNPLXX02,2021,6.1846718
GLOBAL,S2D1,ELCNPLXX02,2022,6.9054752
GLOBAL,S2D1,ELCNPLXX02,2023,7.6262786
GLOBAL,S2D1,ELCNPLXX02,2024,8.347082
GLOBAL,S2D1,ELCNPLXX02,2025,9.0678854
GLOBAL,S2D1,ELCNPLXX02,2026,9.9154349
GLOBAL,S2D1,ELCNPLXX02,2027,10.762971
GLOBAL,S2D1,ELCNPLXX02,2028,11.610507
GLOBAL,S2D1,ELCNPLXX02,2029,12.458056
GLOBAL,S2D1,ELCNPLXX02,2030,13.305592
GLOBAL,S2D1,ELCNPLXX02,2031,14.264473
GLOBAL,S2D1,ELCNPLXX02,2032,15.223233
GLOBAL,S2D1,ELCNPLXX02,2033,16.181992
GLOBAL,S2D1,ELCNPLXX02,2034,17.140886
GLOBAL,S2D1,ELCNPLXX02,2035,18.099646
GLOBAL,S2D1,ELCNPLXX02,2036,19.169549
GLOBAL,S2D1,ELCNPLXX02,2037,20.239451
GLOBAL,S2D1,ELCNPLXX02,2038,21.309354
GLOBAL,S2D1,ELCNPLXX02,2039,22.379122
GLOBAL,S2D1,ELCNPLXX02,2040,23.449025
GLOBAL,S2D1,ELCNPLXX02,2041,24.614616
GLOBAL,S2D1,ELCNPLXX02,2042,25.780206
GLOBAL,S2D1,ELCNPLXX02,2043,26.945797
GLOBAL,S2D1,ELCNPLXX02,2044,28.111387
GLOBAL,S2D1,ELCNPLXX02,2045,29.276977
GLOBAL,S2D1,ELCNPLXX02,2046,30.567553
GLOBAL,S2D1,ELCNPLXX02,2047,31.858264
GLOBAL,S2D1,ELCNPLXX02,2048,33.14884
GLOBAL,S2D1,ELCNPLXX02,2049,34.43955
GLOBAL,S2D1,ELCNPLXX02,2050,35.730261
GLOBAL,S2D1,ELCNPLXX02,2051,37.354669
GLOBAL,S2D1,ELCNPLXX02,2052,38.979077
GLOBAL,S2D1,ELCNPLXX02,2053,40.603485
GLOBAL,S2D1,ELCNPLXX02,2054,42.228028
GLOBAL,S2D1,ELCNPLXX02,2055,43.852436
GLOBAL,S2D1,ELCNPLXX02,2056,45.653168
GLOBAL,S2D1,ELCNPLXX02,2057,47.454034
GLOBAL,S2D1,ELCNPLXX02,2058,49.254766
GLOBAL,S2D1,ELCNPLXX02,2059,51.055632
