REGION,TECHNOLOGY,VALUE
GLOBAL,PWRURNNPLXX01,60
GLOBAL,PWROCGNPLXX01,30
GLOBAL,PWRWOFNPLXX01,30
GLOBAL,PWRCCGNPLXX00,30
GLOBAL,PWROCGNPLXX00,30
GLOBAL,PWRPETNPLXX01,30
GLOBAL,PWRWONNPLXX01,30
GLOBAL,PWRWAVNPLXX01,20
GLOBAL,PWROTHNPLXX01,30
GLOBAL,PWRCSPNPLXX01,30
GLOBAL,PWRCOGNPLXX01,30
GLOBAL,PWROILNPLXX01,30
GLOBAL,PWRBIONPLXX01,45
GLOBAL,PWRWASNPLXX01,30
GLOBAL,PWRSPVNPLXX01,30
GLOBAL,PWRCCGNPLXX01,30
GLOBAL,PWRHYDNPLXX01,100
GLOBAL,PWRCOANPLXX01,30
GLOBAL,PWRGEONPLXX01,30
