REGION,FUEL,TIMESLICE,YEAR,VALUE
GLOBAL,ELCNPLXX02,S1D1,2020,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2021,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2022,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2023,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2024,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2025,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2026,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2027,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2028,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2029,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2030,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2031,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2032,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2033,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2034,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2035,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2036,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2037,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2038,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2039,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2040,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2041,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2042,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2043,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2044,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2045,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2046,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2047,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2048,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2049,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2050,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2051,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2052,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2053,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2054,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2055,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2056,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2057,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2058,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2059,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2060,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2061,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2062,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2063,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2064,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2065,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2066,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2067,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2068,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2069,0.106949376
GLOBAL,ELCNPLXX02,S1D1,2070,0.106949376
GLOBAL,ELCNPLXX02,S1D2,2020,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2021,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2022,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2023,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2024,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2025,0.100646538
GLOBAL,ELCNPLXX02,S1D2,2026,0.100646538
