REGION,FUEL,YEAR,VALUE
R2,WONNPLXX,2020,1
R2,WONNPLXX,2021,1
R2,WONNPLXX,2022,1
R2,WONNPLXX,2023,1
R2,WONNPLXX,2024,1
R2,WONNPLXX,2025,1
R2,WONNPLXX,2026,1
R2,WONNPLXX,2027,1
R2,WONNPLXX,2028,1
R2,WONNPLXX,2029,1
R2,WONNPLXX,2030,1
R2,WONNPLXX,2031,1
R2,WONNPLXX,2032,1
R2,WONNPLXX,2033,1
R2,WONNPLXX,2034,1
R2,WONNPLXX,2035,1
R2,WONNPLXX,2036,1
R2,WONNPLXX,2037,1
R2,WONNPLXX,2038,1
R2,WONNPLXX,2039,1
R2,WONNPLXX,2040,1
R2,WONNPLXX,2041,1
R2,WONNPLXX,2042,1
R2,WONNPLXX,2043,1
R2,WONNPLXX,2044,1
R2,WONNPLXX,2045,1
R2,WONNPLXX,2046,1
R2,WONNPLXX,2047,1
R2,WONNPLXX,2048,1
R2,WONNPLXX,2049,1
R2,WONNPLXX,2050,1
R2,WONNPLXX,2051,1
R2,WONNPLXX,2052,1
R2,WONNPLXX,2053,1
R2,WONNPLXX,2054,1
R2,WONNPLXX,2055,1
R2,WONNPLXX,2056,1
R2,WONNPLXX,2057,1
R2,WONNPLXX,2058,1
R2,WONNPLXX,2059,1
R2,WONNPLXX,2060,1
R2,WONNPLXX,2061,1
R2,WONNPLXX,2062,1
R2,WONNPLXX,2063,1
R2,WONNPLXX,2064,1
R2,WONNPLXX,2065,1
R2,WONNPLXX,2066,1
R2,WONNPLXX,2067,1
R2,WONNPLXX,2068,1
R2,WONNPLXX,2069,1
R2,WONNPLXX,2070,1
R2,WOFNPLXX,2020,1
R2,WOFNPLXX,2021,1
R2,WOFNPLXX,2022,1
R2,WOFNPLXX,2023,1
R2,WOFNPLXX,2024,1
R2,WOFNPLXX,2025,1
R2,WOFNPLXX,2026,1
R2,WOFNPLXX,2027,1
R2,WOFNPLXX,2028,1
R2,WOFNPLXX,2029,1
R2,WOFNPLXX,2030,1
R2,WOFNPLXX,2031,1
R2,WOFNPLXX,2032,1
R2,WOFNPLXX,2033,1
R2,WOFNPLXX,2034,1
R2,WOFNPLXX,2035,1
R2,WOFNPLXX,2036,1
R2,WOFNPLXX,2037,1
R2,WOFNPLXX,2038,1
R2,WOFNPLXX,2039,1
R2,WOFNPLXX,2040,1
R2,WOFNPLXX,2041,1
R2,WOFNPLXX,2042,1
R2,WOFNPLXX,2043,1
R2,WOFNPLXX,2044,1
R2,WOFNPLXX,2045,1
R2,WOFNPLXX,2046,1
R2,WOFNPLXX,2047,1
R2,WOFNPLXX,2048,1
R2,WOFNPLXX,2049,1
R2,WOFNPLXX,2050,1
R2,WOFNPLXX,2051,1
R2,WOFNPLXX,2052,1
R2,WOFNPLXX,2053,1
R2,WOFNPLXX,2054,1
R2,WOFNPLXX,2055,1
R2,WOFNPLXX,2056,1
R2,WOFNPLXX,2057,1
R2,WOFNPLXX,2058,1
R2,WOFNPLXX,2059,1
R2,WOFNPLXX,2060,1
R2,WOFNPLXX,2061,1
R2,WOFNPLXX,2062,1
R2,WOFNPLXX,2063,1
R2,WOFNPLXX,2064,1
R2,WOFNPLXX,2065,1
R2,WOFNPLXX,2066,1
R2,WOFNPLXX,2067,1
R2,WOFNPLXX,2068,1
R2,WOFNPLXX,2069,1
R2,WOFNPLXX,2070,1
