REGION,TECHNOLOGY,YEAR,VALUE
R2,PWRCSPNPLXX01,2046,0
R2,PWRCSPNPLXX01,2047,0
R2,PWRCSPNPLXX01,2048,0
R2,PWRCSPNPLXX01,2049,0
R2,PWRCSPNPLXX01,2050,0
R2,PWRCSPNPLXX01,2051,0
R2,PWRCSPNPLXX01,2052,0
R2,PWRCSPNPLXX01,2053,0
R2,PWRCSPNPLXX01,2054,0
R2,PWRCSPNPLXX01,2055,0
R2,PWRCSPNPLXX01,2056,0
R2,PWRCSPNPLXX01,2057,0
R2,PWRCSPNPLXX01,2058,0
R2,PWRCSPNPLXX01,2059,0
R2,PWRCSPNPLXX01,2060,0
R2,PWRCSPNPLXX01,2061,0
R2,PWRCSPNPLXX01,2062,0
R2,PWRCSPNPLXX01,2063,0
R2,PWRCSPNPLXX01,2064,0
R2,PWRCSPNPLXX01,2065,0
R2,PWRCSPNPLXX01,2066,0
R2,PWRCSPNPLXX01,2067,0
R2,PWRCSPNPLXX01,2068,0
R2,PWRCSPNPLXX01,2069,0
R2,PWRCSPNPLXX01,2070,0
R2,PWRSPVNPLXX01,2020,0
R2,PWRSPVNPLXX01,2021,0
R2,PWRSPVNPLXX01,2022,0
R2,PWRSPVNPLXX01,2023,0
R2,PWRSPVNPLXX01,2024,0
R2,PWRSPVNPLXX01,2025,0
R2,PWRSPVNPLXX01,2026,0
R2,PWRSPVNPLXX01,2027,0
R2,PWRSPVNPLXX01,2028,0
R2,PWRSPVNPLXX01,2029,0
R2,PWRSPVNPLXX01,2030,0
R2,PWRSPVNPLXX01,2031,0
R2,PWRSPVNPLXX01,2032,0
R2,PWRSPVNPLXX01,2033,0
R2,PWRSPVNPLXX01,2034,0
R2,PWRSPVNPLXX01,2035,0
R2,PWRSPVNPLXX01,2036,0
R2,PWRSPVNPLXX01,2037,0
R2,PWRSPVNPLXX01,2038,0
R2,PWRSPVNPLXX01,2039,0
R2,PWRSPVNPLXX01,2040,0
R2,PWRSPVNPLXX01,2041,0
R2,PWRSPVNPLXX01,2042,0
R2,PWRSPVNPLXX01,2043,0
R2,PWRSPVNPLXX01,2044,0
R2,PWRSPVNPLXX01,2045,0
R2,PWRSPVNPLXX01,2046,0
R2,PWRSPVNPLXX01,2047,0
R2,PWRSPVNPLXX01,2048,0
R2,PWRSPVNPLXX01,2049,0
R2,PWRSPVNPLXX01,2050,0
R2,PWRSPVNPLXX01,2051,0
R2,PWRSPVNPLXX01,2052,0
R2,PWRSPVNPLXX01,2053,0
R2,PWRSPVNPLXX01,2054,0
R2,PWRSPVNPLXX01,2055,0
R2,PWRSPVNPLXX01,2056,0
R2,PWRSPVNPLXX01,2057,0
R2,PWRSPVNPLXX01,2058,0
R2,PWRSPVNPLXX01,2059,0
R2,PWRSPVNPLXX01,2060,0
R2,PWRSPVNPLXX01,2061,0
R2,PWRSPVNPLXX01,2062,0
R2,PWRSPVNPLXX01,2063,0
R2,PWRSPVNPLXX01,2064,0
R2,PWRSPVNPLXX01,2065,0
R2,PWRSPVNPLXX01,2066,0
R2,PWRSPVNPLXX01,2067,0
R2,PWRSPVNPLXX01,2068,0
R2,PWRSPVNPLXX01,2069,0
R2,PWRSPVNPLXX01,2070,0
R2,PWRWOFNPLXX01,2020,0
R2,PWRWOFNPLXX01,2021,0
R2,PWRWOFNPLXX01,2022,0
R2,PWRWOFNPLXX01,2023,0
R2,PWRWOFNPLXX01,2024,0
R2,PWRWOFNPLXX01,2025,0
R2,PWRWOFNPLXX01,2026,0
R2,PWRWOFNPLXX01,2027,0
R2,PWRWOFNPLXX01,2028,0
R2,PWRWOFNPLXX01,2029,0
R2,PWRWOFNPLXX01,2030,0
R2,PWRWOFNPLXX01,2031,0
R2,PWRWOFNPLXX01,2032,0
R2,PWRWOFNPLXX01,2033,0
R2,PWRWOFNPLXX01,2034,0
R2,PWRWOFNPLXX01,2035,0
R2,PWRWOFNPLXX01,2036,0
R2,PWRWOFNPLXX01,2037,0
R2,PWRWOFNPLXX01,2038,0
R2,PWRWOFNPLXX01,2039,0
R2,PWRWOFNPLXX01,2040,0
R2,PWRWOFNPLXX01,2041,0
R2,PWRWOFNPLXX01,2042,0
R2,PWRWOFNPLXX01,2043,0
R2,PWRWOFNPLXX01,2044,0
R2,PWRWOFNPLXX01,2045,0
R2,PWRWOFNPLXX01,2046,0
R2,PWRWOFNPLXX01,2047,0
R2,PWRWOFNPLXX01,2048,0
R2,PWRWOFNPLXX01,2049,0
R2,PWRWOFNPLXX01,2050,0
R2,PWRWOFNPLXX01,2051,0
R2,PWRWOFNPLXX01,2052,0
R2,PWRWOFNPLXX01,2053,0
R2,PWRWOFNPLXX01,2054,0
R2,PWRWOFNPLXX01,2055,0
R2,PWRWOFNPLXX01,2056,0
R2,PWRWOFNPLXX01,2057,0
R2,PWRWOFNPLXX01,2058,0
R2,PWRWOFNPLXX01,2059,0
R2,PWRWOFNPLXX01,2060,0
R2,PWRWOFNPLXX01,2061,0
R2,PWRWOFNPLXX01,2062,0
R2,PWRWOFNPLXX01,2063,0
R2,PWRWOFNPLXX01,2064,0
R2,PWRWOFNPLXX01,2065,0
R2,PWRWOFNPLXX01,2066,0
R2,PWRWOFNPLXX01,2067,0
R2,PWRWOFNPLXX01,2068,0
R2,PWRWOFNPLXX01,2069,0
R2,PWRWOFNPLXX01,2070,0
R2,PWRWONNPLXX01,2020,0
R2,PWRWONNPLXX01,2021,0
R2,PWRWONNPLXX01,2022,0
R2,PWRWONNPLXX01,2023,0
R2,PWRWONNPLXX01,2024,0
R2,PWRWONNPLXX01,2025,0
R2,PWRWONNPLXX01,2026,0
R2,PWRWONNPLXX01,2027,0
R2,PWRWONNPLXX01,2028,0
R2,PWRWONNPLXX01,2029,0
R2,PWRWONNPLXX01,2030,0
R2,PWRWONNPLXX01,2031,0
R2,PWRWONNPLXX01,2032,0
R2,PWRWONNPLXX01,2033,0
R2,PWRWONNPLXX01,2034,0
R2,PWRWONNPLXX01,2035,0
R2,PWRWONNPLXX01,2036,0
R2,PWRWONNPLXX01,2037,0
R2,PWRWONNPLXX01,2038,0
R2,PWRWONNPLXX01,2039,0
R2,PWRWONNPLXX01,2040,0
R2,PWRWONNPLXX01,2041,0
R2,PWRWONNPLXX01,2042,0
R2,PWRWONNPLXX01,2043,0
R2,PWRWONNPLXX01,2044,0
R2,PWRWONNPLXX01,2045,0
R2,PWRWONNPLXX01,2046,0
R2,PWRWONNPLXX01,2047,0
R2,PWRWONNPLXX01,2048,0
R2,PWRWONNPLXX01,2049,0
R2,PWRWONNPLXX01,2050,0
R2,PWRWONNPLXX01,2051,0
R2,PWRWONNPLXX01,2052,0
R2,PWRWONNPLXX01,2053,0
R2,PWRWONNPLXX01,2054,0
R2,PWRWONNPLXX01,2055,0
R2,PWRWONNPLXX01,2056,0
