REGION,TECHNOLOGY,VALUE
GLOBAL,PWRCCGNPLXX00,31.536
GLOBAL,PWROCGNPLXX00,31.536
GLOBAL,PWRHYDNPLXX01,31.536
GLOBAL,PWROILNPLXX01,31.536
GLOBAL,PWRSPVNPLXX01,31.536
GLOBAL,PWROTHNPLXX01,31.536
GLOBAL,PWRCSPNPLXX01,31.536
GLOBAL,PWRBIONPLXX01,31.536
GLOBAL,PWRCOANPLXX01,31.536
GLOBAL,PWRURNNPLXX01,31.536
GLOBAL,PWRWONNPLXX01,31.536
GLOBAL,PWRWASNPLXX01,31.536
GLOBAL,PWRWOFNPLXX01,31.536
GLOBAL,PWRWAVNPLXX01,31.536
GLOBAL,PWRPETNPLXX01,31.536
GLOBAL,PWRGEONPLXX01,31.536
GLOBAL,PWRCOGNPLXX01,31.536
GLOBAL,PWRTRNNPLXX,31.536
GLOBAL,PWRCCGNPLXX01,31.536
GLOBAL,PWROCGNPLXX01,31.536
